"Source:","/home/gioele/OneDrive/Progetti da completare/multi_psu+tracking/multi_psu+tracking.kicad_sch"
"Date:","lun 19 feb 2024, 00:15:52"
"Tool:","Eeschema 7.0.10-7.0.10~ubuntu23.10.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","92"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Sim.Device","Sim.Pins"
"1","3","C2, C23, C26","2.2u","Device:C","","~","","","","","","","","","",""
"2","2","C3, C5","100n","Device:C","","~","","","","","","","","","",""
"3","5","C4, C16, C17, C18, C22","10u","Device:C","","~","","","","","","","","","",""
"4","1","C6","470uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","","","","","","","","",""
"5","3","C7, C8, C9","1uF","Device:C","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","","","","","","","","","",""
"6","2","C10, C11","1000uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","","","","","","","","",""
"7","5","C12, C15, C19, C24, C25","100n","Device:C","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","~","","","","","","","","","",""
"8","1","C13","1n","Device:C","","~","","","","","","","","","",""
"9","1","C14","22u","Device:C","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","","","","","","","","","",""
"10","2","C20, C21","1u","Device:C","","~","","","","","","","","","",""
"11","1","D2","BYV79-100","Diode:BYV79-100","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","http://pdf.datasheetcatalog.com/datasheet/philips/BYV79-100.pdf","","","","","","","","","D","1=K 2=A"
"12","1","D11","SM6T27A","Diode:SM6T27A","Diode_SMD:D_SMB","https://www.st.com/resource/en/datasheet/sm6t.pdf","","","","","","","","","",""
"13","1","D12","30V","Device:D_TVS","","~","","","","","","","","","",""
"14","1","J1","3-794677-4","2024-02-09_21-34-22:3-794677-4","CON4_2X2_P3MM_RAMNL_TYC","3-794677-4","","","","","","","","","",""
"15","1","J2","Conn_01x08_Pin","Connector:Conn_01x08_Pin","","~","","","","","","","","","",""
"16","1","J4","3-794677-6","3-794677-6:3-794677-6","37946776","https://componentsearchengine.com/Datasheets/1/3-794677-6.pdf","","3-794677-6","https://www.arrow.com/en/products/3-794677-6/te-connectivity?region=europe","8.67","TE Connectivity","3-794677-6","571-3-794677-6","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/3-794677-6?qs=yRTBpGnAb27Fdg52rm5hkw%3D%3D","",""
"17","1","L1","22u","Device:L","","~","","","","","","","","","",""
"18","1","L2","47uH","Device:L","Inductor_SMD:L_12x12mm_H4.5mm","~","","","","","","","","","",""
"19","3","Q1, Q2, Q3","2N7002K","Transistor_FET:2N7002K","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds30896.pdf","","","","","","","","","",""
"20","1","Q9","Si2319CDS","Transistor_FET:Si2319CDS","Package_TO_SOT_SMD:SOT-23","http://www.vishay.com/docs/66709/si2319cd.pdf","","","","","","","","","",""
"21","5","R1, R15, R30, R31, R32","4.7k","Device:R","","~","","","","","","","","","",""
"22","4","R2, R5, R33, R34","R","Device:R","","~","","","","","","","","","",""
"23","1","R3","100k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"24","1","R4","4.7k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"25","2","R6, R23","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"26","2","R7, R12","1k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"27","5","R8, R14, R18, R28, R29","10k","Device:R","","~","","","","","","","","","",""
"28","1","R9","470","Device:R","","~","","","","","","","","","",""
"29","1","R10","309k","Device:R","","~","","","","","","","","","",""
"30","1","R11","22.1k","Device:R","","~","","","","","","","","","",""
"31","1","R16","0.1","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"32","2","R17, R26","8.2k","Device:R","","~","","","","","","","","","",""
"33","1","R19","1k","Device:R","","~","","","","","","","","","",""
"34","2","R20, R22","100","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"35","1","R21","1","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"36","1","R24","1M","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"37","1","R25","200k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"38","1","R27","15k","Device:R","","~","","","","","","","","","",""
"39","3","RV1, RV4, RV5","10k","Device:R_Potentiometer","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"40","2","RV2, RV3","5k","Device:R_Potentiometer","","~","","","","","","","","","",""
"41","1","RV7","500","Device:R_Potentiometer","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","",""
"42","1","SW1","SW_DIP_x03","Switch:SW_DIP_x03","","~","","","","","","","","","",""
"43","2","TH1, TH2","Thermistor_NTC","Device:Thermistor_NTC","","~","","","","","","","","","",""
"44","1","U1","INA241A1IDR","Amplifier_Current:INA240A1D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina240.pdf","","","","","","","","","",""
"45","1","U2","XL4016",":MIC29752WT_1","Package_TO_SOT_THT:TO-247-5_Vertical","https://www.makerfabs.com/desfile/files/XL4016-Datasheet.pdf","","","","","","","","","",""
"46","1","U3","MCP3422","Analog_ADC:MCP3422","","http://ww1.microchip.com/downloads/en/DeviceDoc/22088c.pdf","","","","","","","","","",""
"47","1","U4","MIC29752WT","Regulator_Linear:MIC29752WT","Package_TO_SOT_THT:TO-247-5_Vertical","http://ww1.microchip.com/downloads/en/devicedoc/20005685a.pdf","","","","","","","","","",""
"48","1","U5","ISO1640","Isolator:ISO1540","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/iso1541.pdf","","","","","","","","","",""
"49","1","U7","TL431","Reference_Voltage:TL431DBZ","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/tl431.pdf","","","","","","","","","",""
"50","1","U8","LM358","Amplifier_Operational:LM358","","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","","","","","","","","","",""
"51","1","U9","FODM217A","Isolator:FODM217A","Package_SO:SOP-4_4.4x2.6mm_P1.27mm","https://www.onsemi.com/pub/Collateral/FODM214-D.PDF","","","","","","","","","",""
"52","1","U10","L7805","Regulator_Linear:L7805","","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","","","",""
"53","1","U11","AP64060QWU-7","AP64060WU:AP64060QWU-7","IC6_AP64060QWU-7_DIO","AP64060QWU-7","","","","","","","","","",""
"54","1","U12","NCS21914","Amplifier_Operational:LM324","","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","","","","","","","","","",""
"55","1","U13","TL7660CDR","2024-01-18_21-22-59:TL7660CDR","D8","TL7660CDR","","","","","","","","","",""
"56","1","U14","LM317MBTG","Regulator_Linear:LM317_TO-220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf","","","","","","","","","",""
